"answerCount","answers","creationTime","id","index","qid","title","url"
"3","Literally nothing, No GMO has ever been found to be harmful over forty years of research and with billions consuming them daily. Not only are they extremely safe beyond any reasonable doubt, but they also have the potential to save the million or more people that die from starvation and the half-million or more that permanently lose their eyesight from malnutrition every year. A GMO is simply a food derived from an organism that has had its DNA altered somehow to make it bigger, tastier, heat resistant, cold resistant, etc. The way DNA is altered today is by using enzymes (little chemically active proteins) to cut open DNA and insert DNA from a different organism that has a desirable gene. That DNA they inserted is foreign and therefore people think that this must mean that it’s harmful in some way. However, while the DNA is foreign, it is still just DNA and acts just as it did in the (also edible and non-harmful usually) animal that it was taken from. Any organism you consume (plant or animal) has DNA in it anyway which still isn’t harmful… you could literally drink the stuff. If the DNA inserted coded for something toxic to humans, then it probably wouldn’t be labeled as safe to eat by the FDA.People say that GMOs “must” be harmful but that’s just it; these are just random people not scientists. No credible Scientist has ever said that GMOs are harmful. That’s not to say there weren’t/aren’t some crackpot conspiracy theorists parading around as scientists who ignore the scientific method to obtain largely falsified results that suit the imaginary point they’re trying to prove. There are a few commonly cited “studies” that supposedly prove that GMO’s cause health defect but absolutely none of them are recognized by the National Academies of Science, Engineering, and Medicine who concluded that “no substantiated evidence that foods from GE crops [are] less safe than foods from non-GE crops [exists].” One notable example is a study that claimed to have found evidence that mice fed GMO’s developed tumors due to their diet. That study was complete bs for a few reasons; it had no control group (genetically similar mice fed non-GMO food to establish that the mice didn’t just commonly grow tumors anyway) which was probably because the breed of lab mouse he used is highly predisposed to growing tumors.The only logical argument against GMOs is that while known GMOs are safe, in theory, new and untested ones might not be (heavy emphasis on the “in theory”) However, any genetically modified crop released to consumers in any country has been tested and approved by the food and drug administration of whatever country it was developed in, any scientist who is cautious of GMO’s is really only cautious (with good reason) about the relaxation of the laws regarding the testing and certification of GMOs. The reason many popular chains like whole foods swear off GMOs is because it’s a publicity stunt and a marketing technique (if you think they’re above that, then you should look at that time they sold bottles of water with asparagus in them for $8 each).A poll by the Pew Center in 2015 which found that 88% of scientists think that GM crops are safe while only 37% of the public agrees; this is the largest gap in opinion between the scientific community and the public over any existing issue, including climate change.TL; DR Nothing.I got a 5 on the AP Biology exam, I got a 5 on the AP Statistics exam, and I had the privilege of writing a research paper on GMOs in AP Language and composition.","2019-04-14T00:31:59.344Z","UXVlc3Rpb25AMDo0NTg5MDQ5Ng==","1","45890496","Are GMO's safe for general human consumption, if so, what effects do they have?","https://www.quora.com/Are-GMOs-safe-for-general-human-consumption-if-so-what-effects-do-they-have"
"1","If by “safe” you mean they won’t get sick and die within days, then sure they’re safe. They can eat most GMO products for years without showing obvious ill effects. But ill effects from eating trans fats don’t show up right away either. Trans fats from hydrogenated oils entered the food supply a century ago, but were only officially recognized as unsafe a few years ago.","2019-04-18T15:30:52.221Z","UXVlc3Rpb25AMDo0NjIyOTU1Nw==","2","46229557","Are foods that are GMO safe for kids to eat?","https://www.quora.com/Are-foods-that-are-GMO-safe-for-kids-to-eat"
"16","Is manipulating plants (GMO) “safe”?Yes.Should we tamper with mother nature?Only if we want to live. It is impossible to feed 8 billion people with paleo food.Mother Nature is not kind and gentle and nurturing. Mother Nature is cruel and unforgiving, and does not care about mass suffering and death. No matter what fluffy-bunny, lovey-dovey, wooage emotions you have about some Walt Disney conception of “Mother Nature,” the fact is that without changing the things we eat, most of the world would die in agony.This:is what we bred corn fromThis:is what we bred wheat from.I always have this challenge for people who complain about “tampering: with “mother nature:” Okay, you, personally, choose the 5 billion men, women, and children who will starve and die without modern agriculture, then you, personally, watch them all suffer and die. Sound good to you?When it comes to GMOs, there are some arguments you see again and again that are markers of low-information arguments. You can pretty much discard any of these arguments without further consideration. For example:GMOs are bad because plant patents.All plant varieties can be patented. GMOs can be patented. Organic varieties can be patented. Conventional varieties can be patented. Crossbreeds can be patented. Hybrids can be patented. Yes, Karen, that 100% certified USDA organic kale you buy at Trader Joe’s is patented. The first plant patents were issued in the 1800s.GMOs are bad because monoculture.GMOs were originally designed, among other things, to prevent monocultures. Farm moncultures began with large-scale farming of conventional crops, like dwarf wheat. Conventional, not GMO.The intent of GMO crops was to be able to engineer huge numbers of varieties that would prevent monocultures. You could tailor crops to the exact conditions of your farm; farmers in Nebraska would no longer plant to same varieties as farmers in Kansas.Fear of GMOs scuttled that.I look at monocultures the same way I look at climate change. Greenpeace whipped up irrational terror and hatred of nuclear power, so utility companies stopped building nuclear plants and started building coal plants. Then Greenpeace wept bitterly about climate change.Greenpeace whipped up irrational terror and hatred of GMOs, so seed companies stopped developing small-scale, individually tuned GMOs and started selling the same varieties to everyone. Then Greenpeace wept bitterly about monocultures.","2017-05-17T17:50:06.386Z","UXVlc3Rpb25AMDoxNTI5NjA3Mg==","3","15296072","Is manipulating plants (GMO) “safe”? Should we tamper with mother nature?","https://www.quora.com/Is-manipulating-plants-GMO-%E2%80%9Csafe%E2%80%9D-Should-we-tamper-with-mother-nature"
"131","Yes, they're safe. There is zero evidence for harm from any GM food. Everything you've heard to the contrary is anti-science propaganda, mostly starting from the \","2010-12-01T15:59:28.638Z","UXVlc3Rpb25AMDoxMTAxOTU=","4","110195","Why is GMO food bad for you?","https://www.quora.com/Why-is-GMO-food-bad-for-you"
"165",,"2010-12-02T16:37:12.175Z","UXVlc3Rpb25AMDoxMTA4OTU=","5","110895","What are some concerns with genetically modified organisms and food? If GMO food has the potential to dramatically increase our food production, why is it so bad?","https://www.quora.com/What-are-some-concerns-with-genetically-modified-organisms-and-food-If-GMO-food-has-the-potential-to-dramatically-increase-our-food-production-why-is-it-so-bad"
"2","GMO seeds produce GMO grains. GMO causes the grain to be better and more economic. Grains are converted to chemicals and alcohol. This GMO does not taste good to cook and eat. The best GMO grains were started 15,000-years ago. The new GMO grains taste good, are nutritious, and healthy. 70–90% of all foods and grains consumed by humans are from GMO seeds. There are natural and certified GMO seeds are quite old. The grocery store is how safe the GMO food appears.","2020-02-07T20:47:37.505Z","UXVlc3Rpb25AMDo2NTk3MTU2Ng==","6","65971566","How safe are GMO seeds?","https://www.quora.com/How-safe-are-GMO-seeds"
"2","ALL GMO food is safe to eat. it has to pass stringent tests but is basically only genetically modified to increase yield, either through cross breeding different strains or by inserting disease resistivity to enable farmers to not have to go around polluting the planet constantly with pesticides and weed killers as the strains are already to a certain extent resistant. so in effect GMO crops are much better for the environment as they take a lower toll on the soil. clearly monocultures have their own problems but those are human generated on top of the crop’s characteristics and are not a precondition of GMO crops.","2022-02-06T16:30:15.487Z","UXVlc3Rpb25AMDoxMTA1NTczNzg=","7","110557378","Are GMO apples safe to eat?","https://www.quora.com/Are-GMO-apples-safe-to-eat"
"55","No. Everything that humans eat is already genetically modified - and I mean that in a much realer sense than just as a comparison to traditional breeding.Transgenic organisms, the class of GMO that seem to cause the most controversy, are created by splicing a gene from one organism into a different organism. Do you know how we accomplish this? Viruses are an entire class of organism that reproduce in exactly this way: by splicing their DNA into a foreign genome. They are the most abundant class of organism on the planet, so they've gotten pretty good at it. So, when we want to do the same thing, why reinvent the wheel when we can just make a virus do the work for us?To perform modification with a viral vector, we find a virus that attacks the plant we want to modify (works best on plants - we'll see why in a second), clear the malignant DNA out of the viral particle, replace it with the DNA we want spliced in, and then unleash it on a culture of plant cells and let it do its thing. The end result is a genetically modified cell culture.  But rather than being modified to produce viruses, which is what the old viral DNA would have done, it's been modified to do our bidding, according to whatever DNA we put in that virus.Now, before you violently react to the word \Back to our plant cell culture.  The beautiful thing about plant cells is that they're pluripotent.  That cell culture will now grow into an entire plant.  If the splice we made was deleterious - for example, if the virus inserted our transgene into the middle of an important plant gene - then that plant just up and dies.  No problem, we have others.  We test all of the plants we created for the ones that display the phenotype we spliced in, select the ones that do, clone them, and collect their seeds.  Voila, transgenic crops - a very, very simplified overview, obviously.Now, how can we be confident that this process is safe?  Well, remember, all we did was piggyback the viral reproduction process.  And viruses, as mentioned, are the most abundant form of life on Earth.  I guarantee you that you have never eaten anything that was not infected by a virus - either recently, or in its ancient evolutionary past.  In fact, you have certainly been infected and genetically modified by viruses in your lifetime.The argument that a local viral infection is not comparable to modifying the entire genome of an organism isn't going to fly, either, because viruses have modified the entire genome of organisms.  Every genome we have yet studied has displayed genome-wide viral remnants - old, leftover junk DNA from germline viral insertions at some point in that organism's distant evolutionary past that didn't take.  In the case of some plants, these leftovers can even make up the majority of the genome!So, there you go.  We use viruses to perform transgenics; viruses are everywhere; everything is transgenic.  If you want a long-term feasibility study on the safety of transgenic organisms, try looking at everything.EDIT: Justin Ma points out in the comments that agrobacterium is favored in plant modification over viruses.  It's been a while since I studied this stuff. :P The point about transgenic viral remnants stands: my field was bioinformatics, and I can confirm that leftover junk viral DNA is literally everywhere, and doesn't seem to hurt anything any.  Agrobacterium specifically may pose risks that I haven't touched on here, though; for instance, it seems to be an opportunistic human pathogen.","2014-08-04T14:38:10.138Z","UXVlc3Rpb25AMDoyMjU0MTYx","8","2254161","Are genetically modified foods harmful to human health in the long run?","https://www.quora.com/Are-genetically-modified-foods-harmful-to-human-health-in-the-long-run"
"1","Whether you are wondering about genetically-modified foods (which include almost all the foods, animal and vegetable, that we currently eat), or genetically engineered foods (such as Canola/rapeseed, or rice varieties that are more resistant), no health or safety issues have been found. On the other hand, the advantages are numerous.","2021-09-27T03:00:03.758Z","UXVlc3Rpb25AMDoxMDEwNTA3ODI=","9","101050782","Are foods that contain GMOs safe for human consumption?","https://www.quora.com/Are-foods-that-contain-GMOs-safe-for-human-consumption"
"0",,"2018-10-30T05:51:21.434Z","UXVlc3Rpb25AMDozNjY4NjU2Mw==","10","36686563","Are GMO fish safe for the natural ocean environment?","https://www.quora.com/unanswered/Are-GMO-fish-safe-for-the-natural-ocean-environment"
